OBJECTID;UEA;PROY_COD;PROYECTO;MUESTRA;ESTE;NORTE;ELEVACION;PROYECCION;FECHA;GEOLOGO;TIPO_MATERIAL;ZONA;ANCHO;AZIMUT_STR;BUZAMIENTO_STR;ROCA_GENERAL;ALTERACION;ALT_INTENSIDAD;MINERALIZACION;TIPO_MINERALIZACION;TIPO_ESTRUCTURA;MIN_PRINCIPAL;MIN_SECUNDARIO;OBSERVACION;SINCRONIZACION;Au_ppm;Aucn_ppm;Ag_ppm;Al_pct;As_ppm;B_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Ge_ppm;Hf_ppm;Hg_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Lu_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Se_ppm;Sc_ppm;Sn_ppm;Sr_ppm;Ta_ppm;Te_ppm;Tb_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Yb_ppm;Zn_ppm;Zr_ppm;TARGET
1;TM;TBM;DISTRITAL TAMBOMAYO;TMCA00004720;184061.48;8288600.15;4858.15;W84U19S;26-Dec-2018;Bisa;Estructura;Afloramiento;0.1;120;90;Volc;Argl;Mod;Si;Mass;Vt;Sulf;;"Estructura con contacto de roca volcánica verdosa; dacitas???; con presencia de epidotas; cloritas; diss fina de Py; magnetizada (presencia de magnetita fina); débil presencia de malaquita y crisocola de forma irregular.";21/11/2019 07:00;0.005;;0.2;0.85;3;10;40;0.5;2;0.61;0.5;;7;17;;57;1.81;10;;;1;;0.46;20;;;0.28;320;1;0.17;;10;0.098;6;;;0.03;2;;4;;59;;;;20;0.14;10;10;83;10;;;56;;TAMBOMAYO
2;TM;TBM;DISTRITAL TAMBOMAYO;TMCA00004719;189167;8287379;5133.97;W84U19S;26-Dec-2018;Bisa;Estructura;Afloramiento;0.1;300;87;Volc;Argl;Mod;Si;Diss;Vt;Ox;Qz;Veta con abundante  py diss + OxFe + cuarzo y limorcillas.;21/11/2019 07:00;0.005;;0.2;3.79;2;10;80;0.6;2;1.6;0.5;;18;11;;83;5.65;10;;;1;;0.11;20;;;1.56;377;1;0.35;;16;0.132;7;;;1.42;2;;14;;268;;;;20;0.1;10;10;182;10;;;71;;TAMBOMAYO
3;TM;TBM;DISTRITAL TAMBOMAYO;TMCA00004718;189163;8287384;5131.91;W84U19S;26-Dec-2018;Bisa;Estructura;Afloramiento;0.1;300;87;Volc;Argl;Mod;Si;Diss;Vt;Ox;Qz;Veta con abundante  py diss + OxFe + cuarzo y limorcillas.;21/11/2019 07:00;0.005;;0.2;3.89;2;10;60;0.7;2;1.8;0.5;;20;10;;85;5.14;10;;;1;;0.13;30;;;1.48;233;1;0.33;;22;0.144;5;;;2.33;3;;15;;241;;;;20;0.06;10;10;182;10;;;110;;TAMBOMAYO
4;TM;TBM;DISTRITAL TAMBOMAYO;TMCA00004717;189159;8287386;5135.12;W84U19S;26-Dec-2018;Bisa;Estructura;Afloramiento;0.1;300;87;Volc;Argl;Mod;Si;Diss;Vt;Ox;Qz;Veta con abundante  py diss + OxFe + cuarzo y limorcillas.;21/11/2019 07:00;0.005;;0.2;3.7;2;10;250;0.6;2;1.57;0.5;;16;9;;77;5.01;10;;;1;;0.12;20;;;1.39;303;1;0.28;;18;0.144;5;;;1.08;2;;15;;195;;;;20;0.04;10;10;168;10;;;84;;TAMBOMAYO
5;TM;TBM;DISTRITAL TAMBOMAYO;TMCA00004716;189237;8287947;5100.22;W84U19S;26-Dec-2018;Bisa;Estructura;Afloramiento;0.1;242;90;Volc;Argl;Deb;Si;Mass;Vt;Ox;Qz;Veta  con  silicicación con presencia de óxidos de Fe + tz de py y cuarzo gris;21/11/2019 07:00;0.005;;0.2;2.33;2;10;160;0.7;2;0.84;0.5;;20;42;;125;4.94;10;;;1;;0.14;40;;;0.59;407;1;0.23;;35;0.162;7;;;2.24;2;;7;;133;;;;20;0.02;10;10;130;10;;;99;;TAMBOMAYO
10288;TM;TBM;DISTRITAL TAMBOMAYO;EX341667;819113;8301153;4590;W84U18S;2-Sep-2013;Julio Reyno;Estructura;Afloramiento;0.5;;;;;;;;Vnll;;;Venilla con pátinas verdosas. Roca caja andesita inalterada.;21/11/2019 07:00;0.005;;0.2;2.09;3;;46;0.5;5;1.58;1;;14;30;;29.9;4.54;10;;;0.02;;0.11;10.5;;;1.32;629;1;0.24;1;15;0.07;21;;;0.01;5;;7.8;13;128;;0.005;;50;0.12;2;50;119;10;8.2;;56.4;13;REGIONAL TAMBOMAYO
10289;TM;TBM;DISTRITAL TAMBOMAYO;EX341666;819215;8301166;4604;W84U18S;2-Sep-2013;Julio Reyno;Estructura;Afloramiento;0.3;;;;;;;;Vnll;Cal;;"Canal en estructura con venillas de calcita; parcial silisificación y remanentes de roca nadesitica. Presencia de clorita y/o brocantita. 10 metros de extensión.";21/11/2019 07:00;0.005;;0.2;1.13;3;;61;0.5;5;5.35;1;;2;77;;59.2;2.25;10;;;0.02;;0.2;6;;;0.25;1455;1;0.05;1;9;0.02;11;;;0.01;5;;2.5;10;1310;;0.005;;50;0.04;2;50;64;10;5.8;;25;7.3;REGIONAL TAMBOMAYO
10290;TM;TBM;DISTRITAL TAMBOMAYO;EX341665;818991;8300973;4508;W84U18S;2-Sep-2013;Julio Reyno;Estructura;Afloramiento;0.6;;;;;;;;Vnll;Cal;;"Canal sobre dos vetillas de calcita de 10 cm de ancho cada una; separadas por roca inalterada. 10 metros de largo.";21/11/2019 07:00;0.005;;0.3;0.39;5;;14;0.5;5;15;1;;2;20;;9.8;0.96;10;;;0.02;;0.05;5.5;;;0.19;582;1;0.02;1;5;0.03;6;;;0.01;5;;1.6;24;57.9;;0.099;;50;0.04;2;50;18;10;2.8;;20.7;5.1;REGIONAL TAMBOMAYO
10291;TM;TBM;DISTRITAL TAMBOMAYO;EX341664;818785;8301066;4515;W84U18S;2-Sep-2013;Julio Reyno;Estructura;Afloramiento;0.25;;;;;;;;Vnll;Cal;;Vetilla de calcita de 25 cm de ancho.Calcita fina en bandas grises entre calcita blanca bien cristalizada. Sin continuidad.;21/11/2019 07:00;0.005;;0.2;1.85;3;;12;0.5;5;15;1;;1;18;;9;0.39;10;;;0.02;;0.26;5.2;;;0.03;1254;1;0.03;1;1;0.02;9;;;0.01;5;;1.9;10;82.9;;0.117;;50;0.01;2;50;21;10;3.7;;20;3.4;REGIONAL TAMBOMAYO
10292;TM;TBM;DISTRITAL TAMBOMAYO;EX341663;819874;8300744;4540;W84U18S;2-Sep-2013;Julio Reyno;Estructura;Afloramiento;0.1;;;;;;;;Vnll;Sil;Ox;"Vetilla de silice calcedonia con """"""""""""""""hilitos"""""""""""""""" de OxFe.";21/11/2019 07:00;0.005;;0.2;0.12;4;;56;0.5;5;0.48;2;;1;273;;1210;1.81;10;;;0.02;;0.02;0.5;;;0.03;215;4;0.01;1;13;0.01;11;;;0.02;5;;1.2;10;27.2;;0.044;;50;0.01;2;50;30;10;0.6;;10.5;3.1;REGIONAL TAMBOMAYO
